ip.checksum;ip.id;ip.len;ip.ttl;udp.checksum;pfcp.apply_action.buff;pfcp.apply_action.forw;pfcp.apply_action.nocp;pfcp.dst_interface;pfcp.duration_measurement;pfcp.f_seid.ipv4;pfcp.f_teid.ipv4_addr;pfcp.f_teid.teid;pfcp.f_teid_flags.ch;pfcp.f_teid_flags.ch_id;pfcp.f_teid_flags.v6;pfcp.flags;pfcp.ie_type;pfcp.msg_type;pfcp.node_id_ipv4;pfcp.outer_hdr_creation.ipv4;pfcp.outer_hdr_creation.teid;pfcp.pdr_id;pfcp.response_time;pfcp.response_to;pfcp.s;pfcp.seid;pfcp.seqno;pfcp.ue_ip_addr_ipv4;pfcp.volume_measurement.dlnop;pfcp.volume_measurement.dlvol;pfcp.volume_measurement.tonop;pfcp.volume_measurement.tovol;ip.opt.time_stamp
0x5906;0x1;329.0;63.0;0xd357;True;False;True;True;1754053953.0;192.168.130.174;192.168.130.179;0x457;True;False;True;0x21;60.0;50.0;192.168.130.174;192.168.14.134;0x67;1.0;0.0068445067;591.0;True;0x0;2.0;192.168.100.2;182.0;178950.0;182.0;178650.0;5.0
0x5906;0x1;329.0;63.0;0xd357;True;False;True;True;1754053953.0;192.168.130.174;192.168.130.179;0x457;True;False;True;0x21;60.0;50.0;192.168.130.174;192.168.14.134;0x67;1.0;0.0068445067;591.0;True;0x0;2.0;192.168.100.2;182.0;178950.0;182.0;178650.0;5.0
0x5906;0x1;329.0;63.0;0xd357;True;False;True;True;1754053953.0;192.168.130.174;192.168.130.179;0x457;True;False;True;0x21;60.0;50.0;192.168.130.174;192.168.14.134;0x67;1.0;0.0068445067;591.0;True;0x0;2.0;192.168.100.2;182.0;178950.0;182.0;178650.0;5.0
0x59e9;0x1;92.0;63.0;0x1e97;False;False;False;False;1754278099.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;10.0;52.0;192.168.14.134;172.21.0.111;0x1;1.0;0.00837787092;638.0;True;0x557;106.0;10.45.0.103;182.0;178950.0;182.0;178661.0;2.0
0x59e9;0x1;92.0;63.0;0x1eb5;False;False;False;False;1754293490.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;10.0;52.0;192.168.14.134;172.21.0.111;0x1;1.0;0.00837787092;638.0;True;0x439;107.0;10.45.0.103;182.0;178950.0;182.0;178661.0;2.0
0x59e9;0x1;92.0;63.0;0x15d4;False;False;False;False;1754303611.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;10.0;52.0;192.168.14.134;172.21.0.111;0x1;1.0;0.00830128768;636.0;True;0xc1a;108.0;10.45.0.103;182.0;178950.0;182.0;178661.0;2.0
0x59e9;0x1;92.0;63.0;0x1e11;False;False;False;False;1754303611.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;10.0;52.0;192.168.14.134;172.21.0.111;0x1;1.0;0.00830128768;636.0;True;0x2dd;109.0;10.45.0.103;182.0;178950.0;182.0;178661.0;2.0
0x59e9;0x1;92.0;63.0;0x1623;False;False;False;False;1754303611.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;10.0;52.0;192.168.14.134;172.21.0.111;0x1;1.0;0.00830128768;636.0;True;0x9cb;110.0;10.45.0.103;182.0;178950.0;182.0;178661.0;2.0
0x59e9;0x1;92.0;63.0;0x124f;False;False;False;False;1754303611.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;10.0;52.0;192.168.14.134;172.21.0.111;0x1;1.0;0.00830128768;636.0;True;0xc9f;111.0;10.45.0.103;182.0;178950.0;182.0;178661.0;2.0
0x59e9;0x1;92.0;63.0;0x14bc;False;False;False;False;1754303611.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;10.0;52.0;192.168.14.134;172.21.0.111;0x1;1.0;0.00830128768;636.0;True;0x932;112.0;10.45.0.103;182.0;178950.0;182.0;178661.0;2.0
